username,comment_text,timestamp,like_count,video_id,video_link,source,cleaned_text,tokens,polarity,sentiment
NewsWatcher01,This report is important. I hope we get more clear updates soon.,2026-05-05T14:03:00Z,18,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,report important hope get clear updates soon,"['report', 'important', 'hope', 'get', 'clear', 'updates', 'soon']",1.0,positive
CivicReader,"The situation sounds serious, but the video needs more context and facts.",2026-05-05T14:09:00Z,11,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,situation sounds serious video needs context facts,"['situation', 'sounds', 'serious', 'video', 'needs', 'context', 'facts']",0.0,neutral
PolicyTalk,Good coverage. The public deserves accurate information about this story.,2026-05-05T14:15:00Z,25,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,good coverage public deserves accurate information story,"['good', 'coverage', 'public', 'deserves', 'accurate', 'information', 'story']",1.0,positive
SkepticalViewer,I do not trust half of these breaking news clips anymore. Too much panic.,2026-05-05T14:21:00Z,7,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,trust half breaking news clips anymore much panic,"['trust', 'half', 'breaking', 'news', 'clips', 'anymore', 'much', 'panic']",-1.0,negative
DailyUpdates,Thanks for posting this update. Please keep following the story.,2026-05-05T14:32:00Z,14,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,thanks posting update please keep following story,"['thanks', 'posting', 'update', 'please', 'keep', 'following', 'story']",1.0,positive
WorldObserver,This is worrying. Leaders should avoid making the conflict worse.,2026-05-05T14:40:00Z,9,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,worrying leaders avoid making conflict worse,"['worrying', 'leaders', 'avoid', 'making', 'conflict', 'worse']",-1.0,negative
MediaCheck,"The title feels dramatic, but the details in the clip were useful.",2026-05-05T14:55:00Z,6,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,title feels dramatic details clip useful,"['title', 'feels', 'dramatic', 'details', 'clip', 'useful']",0.0,neutral
PatriotVoice,Strong reporting today. People need to pay attention to national security.,2026-05-05T15:03:00Z,31,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,strong reporting today people need pay attention national security,"['strong', 'reporting', 'today', 'people', 'need', 'pay', 'attention', 'national', 'security']",1.0,positive
QuietReader,I wish the comment section had less arguing and more real discussion.,2026-05-05T15:17:00Z,4,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,wish comment section less arguing real discussion,"['wish', 'comment', 'section', 'less', 'arguing', 'real', 'discussion']",-1.0,negative
GlobalCitizen,Very concerning news. Hoping for peace and responsible decisions.,2026-05-05T15:24:00Z,16,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,concerning news hoping peace responsible decisions,"['concerning', 'news', 'hoping', 'peace', 'responsible', 'decisions']",0.333,positive
FactFirst,Where are the sources for the numbers mentioned in the video?,2026-05-05T15:37:00Z,5,GPIn5FQnypk,https://www.youtube.com/watch?v=GPIn5FQnypk,sample_fallback,sources numbers mentioned video,"['sources', 'numbers', 'mentioned', 'video']",0.0,neutral
